dimDatePostPK,Dates,Year,Month,MonthPeriod,MonthYear,Day,DayName
20200717,7/17/2020,2020,July,202007,Jul-20,17,Friday
20200718,7/18/2020,2020,July,202007,Jul-20,18,Saturday
20200719,7/19/2020,2020,July,202007,Jul-20,19,Sunday
20200720,7/20/2020,2020,July,202007,Jul-20,20,Monday
20200721,7/21/2020,2020,July,202007,Jul-20,21,Tuesday
20200722,7/22/2020,2020,July,202007,Jul-20,22,Wednesday
20200723,7/23/2020,2020,July,202007,Jul-20,23,Thursday
20200724,7/24/2020,2020,July,202007,Jul-20,24,Friday
20200725,7/25/2020,2020,July,202007,Jul-20,25,Saturday
20200726,7/26/2020,2020,July,202007,Jul-20,26,Sunday
